,experiment,sample_id,original_sample_id,trait
exp02_SRX7656976,exp02,SRX7656976,SRX7656976,tolerant
exp02_SRX7656977,exp02,SRX7656977,SRX7656977,tolerant
exp02_SRX7656978,exp02,SRX7656978,SRX7656978,tolerant
exp02_SRX7656979,exp02,SRX7656979,SRX7656979,tolerant
exp02_SRX7656980,exp02,SRX7656980,SRX7656980,tolerant
exp02_SRX7656981,exp02,SRX7656981,SRX7656981,tolerant
exp02_SRX7656982,exp02,SRX7656982,SRX7656982,sensitive
exp02_SRX7656983,exp02,SRX7656983,SRX7656983,sensitive
exp02_SRX7656984,exp02,SRX7656984,SRX7656984,sensitive
exp02_SRX7656985,exp02,SRX7656985,SRX7656985,sensitive
exp02_SRX7656986,exp02,SRX7656986,SRX7656986,sensitive
exp02_SRX7656987,exp02,SRX7656987,SRX7656987,sensitive
exp02_SRX7656988,exp02,SRX7656988,SRX7656988,sensitive
exp02_SRX7656989,exp02,SRX7656989,SRX7656989,sensitive
exp02_SRX7656990,exp02,SRX7656990,SRX7656990,sensitive
exp02_SRX7656991,exp02,SRX7656991,SRX7656991,tolerant
exp02_SRX7656992,exp02,SRX7656992,SRX7656992,tolerant
exp02_SRX7656993,exp02,SRX7656993,SRX7656993,tolerant
exp02_SRX7656994,exp02,SRX7656994,SRX7656994,tolerant
exp02_SRX7656995,exp02,SRX7656995,SRX7656995,tolerant
exp02_SRX7656996,exp02,SRX7656996,SRX7656996,tolerant
exp03_SRX13037862,exp03,SRX13037862,SRX13037862,tolerant
exp03_SRX13037863,exp03,SRX13037863,SRX13037863,tolerant
exp03_SRX13037864,exp03,SRX13037864,SRX13037864,tolerant
exp03_SRX13037865,exp03,SRX13037865,SRX13037865,tolerant
exp03_SRX13037866,exp03,SRX13037866,SRX13037866,tolerant
exp03_SRX13037867,exp03,SRX13037867,SRX13037867,sensitive
exp03_SRX13037868,exp03,SRX13037868,SRX13037868,sensitive
exp03_SRX13037869,exp03,SRX13037869,SRX13037869,sensitive
exp03_SRX13037870,exp03,SRX13037870,SRX13037870,sensitive
exp03_SRX13037871,exp03,SRX13037871,SRX13037871,sensitive
exp04_SRX9845500,exp04,SRX9845500,SRX9845500,tolerant
exp04_SRX9845501,exp04,SRX9845501,SRX9845501,tolerant
exp04_SRX9845502,exp04,SRX9845502,SRX9845502,sensitive
exp04_SRX9845503,exp04,SRX9845503,SRX9845503,sensitive
exp04_SRX9845504,exp04,SRX9845504,SRX9845504,sensitive
exp04_SRX9845505,exp04,SRX9845505,SRX9845505,sensitive
exp04_SRX9845506,exp04,SRX9845506,SRX9845506,sensitive
exp04_SRX9845507,exp04,SRX9845507,SRX9845507,sensitive
exp04_SRX9845508,exp04,SRX9845508,SRX9845508,sensitive
exp04_SRX9845509,exp04,SRX9845509,SRX9845509,sensitive
exp04_SRX9845510,exp04,SRX9845510,SRX9845510,sensitive
exp04_SRX9845511,exp04,SRX9845511,SRX9845511,sensitive
exp04_SRX9845512,exp04,SRX9845512,SRX9845512,tolerant
exp04_SRX9845513,exp04,SRX9845513,SRX9845513,tolerant
exp04_SRX9845514,exp04,SRX9845514,SRX9845514,tolerant
exp04_SRX9845515,exp04,SRX9845515,SRX9845515,tolerant
exp04_SRX9845516,exp04,SRX9845516,SRX9845516,tolerant
exp04_SRX9845517,exp04,SRX9845517,SRX9845517,tolerant
exp04_SRX9845518,exp04,SRX9845518,SRX9845518,tolerant
exp04_SRX9845519,exp04,SRX9845519,SRX9845519,tolerant
exp04_SRX9845520,exp04,SRX9845520,SRX9845520,tolerant
exp04_SRX9845521,exp04,SRX9845521,SRX9845521,tolerant
exp04_SRX9845522,exp04,SRX9845522,SRX9845522,tolerant
exp04_SRX9845523,exp04,SRX9845523,SRX9845523,tolerant
exp04_SRX9845524,exp04,SRX9845524,SRX9845524,tolerant
exp04_SRX9845525,exp04,SRX9845525,SRX9845525,tolerant
exp04_SRX9845526,exp04,SRX9845526,SRX9845526,tolerant
exp04_SRX9845527,exp04,SRX9845527,SRX9845527,tolerant
exp04_SRX9845528,exp04,SRX9845528,SRX9845528,tolerant
exp04_SRX9845529,exp04,SRX9845529,SRX9845529,tolerant
exp04_SRX9845530,exp04,SRX9845530,SRX9845530,tolerant
exp04_SRX9845531,exp04,SRX9845531,SRX9845531,tolerant
exp04_SRX9845532,exp04,SRX9845532,SRX9845532,tolerant
exp04_SRX9845533,exp04,SRX9845533,SRX9845533,tolerant
exp04_SRX9845534,exp04,SRX9845534,SRX9845534,tolerant
exp04_SRX9845535,exp04,SRX9845535,SRX9845535,tolerant
