gene_id	gene_name	pval
LOC111110071	LOC111110071	9.80757186708456e-07
LOC111137935	LOC111137935	9.862070340013284e-07
LOC111123350	LOC111123350	9.916522949294523e-07
LOC111134064	LOC111134064	1.0024731233451146e-06
LOC111132902	LOC111132902	1.0095012006840748e-06
LOC111100506	LOC111100506	1.0240218957779038e-06
LOC111117682	LOC111117682	1.0324716633922773e-06
LOC111131687	LOC111131687	1.03358905187504e-06
LOC111125684	LOC111125684	1.0587603113616103e-06
LOC111108173	LOC111108173	1.1204488823193413e-06
LOC111116774	LOC111116774	1.1337585660020732e-06
LOC111126714	LOC111126714	1.1380779415117092e-06
LOC111120324	LOC111120324	1.1435303134979437e-06
LOC111112883	LOC111112883	1.1652636341131065e-06
LOC111105635	LOC111105635	1.1669873675187598e-06
LOC111123897	LOC111123897	1.1853995700989176e-06
LOC111111531	LOC111111531	1.2095367804126906e-06
LOC111108523	LOC111108523	1.2239111811269525e-06
LOC111133322	LOC111133322	1.236767089399048e-06
LOC111112006	LOC111112006	1.2439883704923597e-06
LOC111114498	LOC111114498	1.2692410384484951e-06
LOC111112265	LOC111112265	1.2713649882756485e-06
LOC111127022	LOC111127022	1.2754088198584228e-06
LOC111112650	LOC111112650	1.3246652376620047e-06
LOC111111652	LOC111111652	1.349295431862717e-06
LOC111118966	LOC111118966	1.3636235232867203e-06
LOC111117103	LOC111117103	1.3685781520938312e-06
LOC111132977	LOC111132977	1.443842925667584e-06
LOC111129919	LOC111129919	1.4827713098015693e-06
LOC111131483	LOC111131483	1.5066351089294742e-06
LOC111109768	LOC111109768	1.5586194078140052e-06
LOC111123720	LOC111123720	1.6157562900606826e-06
LOC111110179	LOC111110179	1.690819262619144e-06
LOC111103584	LOC111103584	1.7022499516223623e-06
LOC111129953	LOC111129953	1.7126453101092121e-06
LOC111102291	LOC111102291	1.7254666196280544e-06
LOC111110841	LOC111110841	1.7281739003873213e-06
LOC111125137	LOC111125137	1.7329454706848985e-06
LOC111127118	LOC111127118	1.7635269531892381e-06
LOC111120910	LOC111120910	1.7871381934267913e-06
LOC111122765	LOC111122765	1.787833515052123e-06
LOC111117357	LOC111117357	1.7947010613679988e-06
LOC111119462	LOC111119462	1.838290115855735e-06
LOC111103695	LOC111103695	1.851452778104916e-06
LOC111123340	LOC111123340	1.8834154293089241e-06
LOC111100227	LOC111100227	1.9754106580923373e-06
LOC111129992	LOC111129992	2.001502102538271e-06
LOC111106030	LOC111106030	2.0166215709823532e-06
LOC111101409	LOC111101409	2.092381509238671e-06
LOC111119828	LOC111119828	2.0968376665809223e-06
LOC111124324	LOC111124324	2.098878747203098e-06
LOC111106298	LOC111106298	2.1908987523260863e-06
LOC111119365	LOC111119365	2.231736845634783e-06
LOC111099940	LOC111099940	2.258118719781009e-06
LOC111109197	LOC111109197	2.2688821115138174e-06
LOC111112879	LOC111112879	2.291141900980027e-06
LOC111134538	LOC111134538	2.3566037999584164e-06
LOC111104738	LOC111104738	2.364900316295596e-06
LOC111123112	LOC111123112	2.3683722736925563e-06
LOC111110421	LOC111110421	2.4326915268763136e-06
LOC111099635	LOC111099635	2.434290991313093e-06
LOC111130635	LOC111130635	2.475926078756609e-06
LOC111134877	LOC111134877	2.4994680744350056e-06
LOC111107293	LOC111107293	2.500056160844212e-06
LOC111133617	LOC111133617	2.5237683897085667e-06
LOC111099643	LOC111099643	2.5457780889176937e-06
LOC111120090	LOC111120090	2.5802907858082444e-06
LOC111118569	LOC111118569	2.599095138892404e-06
LOC111123852	LOC111123852	2.641570109684439e-06
LOC111122738	LOC111122738	2.64308578996525e-06
LOC111133789	LOC111133789	2.6934715978727293e-06
LOC111111206	LOC111111206	2.7127769466085103e-06
LOC111138301	LOC111138301	2.7170169205304154e-06
LOC111136604	LOC111136604	2.734929724306231e-06
LOC111117924	LOC111117924	2.81075177024919e-06
LOC111128817	LOC111128817	2.8252668995514364e-06
LOC111129418	LOC111129418	2.890997043970874e-06
LOC111127162	LOC111127162	2.9012367285010874e-06
LOC111135144	LOC111135144	3.0180853266744033e-06
LOC111117533	LOC111117533	3.061508857567419e-06
LOC111127921	LOC111127921	3.0623422394915738e-06
LOC111110851	LOC111110851	3.1063689208652403e-06
LOC111103427	LOC111103427	3.2831599338595373e-06
LOC111126242	LOC111126242	3.3068157859079924e-06
LOC111129495	LOC111129495	3.309878445539867e-06
LOC111121019	LOC111121019	3.4958880092422373e-06
LOC111100220	LOC111100220	3.52420071205504e-06
LOC111101314	LOC111101314	3.6209147568463054e-06
LOC111108226	LOC111108226	3.630343722150319e-06
LOC111122255	LOC111122255	3.6566779923396774e-06
LOC111116356	LOC111116356	3.7372580957381794e-06
LOC111115143	LOC111115143	3.742274801388291e-06
LOC111105354	LOC111105354	3.764515688776163e-06
LOC111122566	LOC111122566	3.8125298664123996e-06
LOC111126102	LOC111126102	3.814261605761174e-06
LOC111119066	LOC111119066	3.89027235265917e-06
LOC111114322	LOC111114322	3.932491769805793e-06
LOC111120018	LOC111120018	3.941447352616466e-06
LOC111131031	LOC111131031	3.959691582765419e-06
LOC111117393	LOC111117393	3.963781675308323e-06
LOC111138260	LOC111138260	4.0082830037897994e-06
LOC111136279	LOC111136279	4.022875584103959e-06
LOC111131220	LOC111131220	4.069934242361937e-06
LOC111113166	LOC111113166	4.096710003680288e-06
